Log file open, 04/11/15 13:49:02
LogInit:Display: Running engine for game: Office1
LogInit: Version: 4.7.5-2503383+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr  6 2015 23:21:51
[2015.04.11-17.49.06:451][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.11-17.49.06:525][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2015.04.11-17.49.06:583][  0]LogDerivedDataCache: Loaded boot cache 0.06s 39MB C:/Users/tyler/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.04.11-17.49.06:583][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/tyler/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc
[2015.04.11-17.49.06:583][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2015.04.11-17.49.06:583][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2015.04.11-17.49.06:732][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2015.04.11-17.49.06:745][  0]LogDerivedDataCache: Using Local data cache path C:/Users/tyler/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
[2015.04.11-17.49.07:119][  0]LogMeshUtilities: No automatic mesh reduction module available
[2015.04.11-17.49.07:119][  0]LogMeshUtilities: No automatic mesh merging module available
[2015.04.11-17.49.07:573][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2015.04.11-17.49.07:662][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Slate/Fonts/Roboto-Italic.ttf'
[2015.04.11-17.49.08:771][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2015.04.11-17.49.09:035][  0]SourceControl: Info Source control is disabled
[2015.04.11-17.49.09:035][  0]SourceControl: Info Source control is disabled
[2015.04.11-17.49.09:035][  0]SourceControl: Info Source control is disabled
[2015.04.11-17.49.09:035][  0]LogSourceControl: RunCommandInternalRaw: 'git version'
[2015.04.11-17.49.09:035][  0]LogSourceControl: RunCommandInternalRaw: ExecProcess ReturnCode=2 OutResults=''
[2015.04.11-17.49.09:046][  0]SourceControl: Info Source control is disabled
[2015.04.11-17.49.09:277][  0]LogObj: 24232 objects as part of root set at end of initial load.
[2015.04.11-17.49.09:277][  0]LogUObjectAllocator: 5137176 out of 0 bytes used by permanent object pool.
[2015.04.11-17.49.09:379][  0]LogEngine: Initializing Engine...
[2015.04.11-17.49.11:588][  0]LogInit: XAudio2 using 'Speakers (2- High Definition Audio Device)' : 2 channels at 44.1 kHz using 16 bits per sample (channel mask 0x3)
[2015.04.11-17.49.11:596][  0]LogInit: FAudioDevice initialized.
[2015.04.11-17.49.11:649][  0]LogAIModule: Creating AISystem for world NewWorld
[2015.04.11-17.49.11:674][  0]LogDerivedDataCache: Saved boot cache 0.02s 39MB C:/Users/tyler/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.04.11-17.49.11:683][  0]LogInit: Texture streaming: Enabled
[2015.04.11-17.49.11:804][  0]LogAnalytics: Creating configured Analytics provider AnalyticsET
[2015.04.11-17.49.11:804][  0]LogAnalytics: ET APIKey = Rocket.Release. APIServer = http://et2.epicgames.com/ET2/. AppVersion = 4.7.5-2503383+++depot+UE4-Releases+4.7
[2015.04.11-17.49.11:804][  0]LogAnalytics: ET APIKey = Rocket.Release. DataRouterUploadURL = https://datarouter-public-service-gamedev.ol.epicgames.net/datarouter/api/v1/public/data. AppVersion = 4.7.5-2503383+++depot+UE4-Releases+4.7
[2015.04.11-17.49.11:804][  0]LogAnalytics: SetUserId cd12d6bf4b729a9f6ba70cb844a09567|71ce951bf3604114a422a27333520941|2c8b098c-dff3-496a-b981-565ca309ad16
[2015.04.11-17.49.11:804][  0]LogAnalytics: AnalyticsET::StartSession [Rocket.Release]
[2015.04.11-17.49.11:844][  0]LogInit: Transaction tracking system initialized
[2015.04.11-17.49.12:054][  0]BlueprintLog: New page: Editor Load
[2015.04.11-17.49.12:092][  0]LogAssetRegistry: FAssetRegistry took 0.0108 seconds to start up
[2015.04.11-17.49.12:093][  0]LogDirectoryWatcher:Warning: Failed to begin reading directory changes for ../../../Engine/Plugins/Experimental/CharacterAI/Content/. Error: 0
[2015.04.11-17.49.12:789][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.11-17.49.13:268][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.11-17.49.18:581][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Regular.ttf'
[2015.04.11-17.49.18:581][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Bold.ttf'
[2015.04.11-17.49.18:592][  0]LogConsoleResponse:Display: 
[2015.04.11-17.49.18:757][  0]LogCook:Display: Done creating registry. It took  0.00s.
[2015.04.11-17.49.18:942][  0]SourceControl: Info Source control is disabled
[2015.04.11-17.49.18:943][  0]LogPackageName:Error: DoesPackageExist: DoesPackageExist FAILED: 'StarterContent/StarterContent' is not a standard unreal filename or a long path name. Reason: Path should start with a '/'
[2015.04.11-17.49.18:943][  0]LogPackageName:Error: DoesPackageExist: DoesPackageExist FAILED: 'StarterContent/StarterContent' is not a standard unreal filename or a long path name. Reason: Path should start with a '/'
[2015.04.11-17.49.18:943][  0]LogFactory: FactoryCreateBinary: PackFactory with PackFactory (0 0 D:/Epic Games/4.7/FeaturePacks/StarterContent.upack)
[2015.04.11-17.49.24:133][  0]LogPackFactory: Content/StarterContent/Architecture/Floor_400x400.uasset (48141) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Floor_400x400.uasset
[2015.04.11-17.49.24:136][  0]LogPackFactory: Content/StarterContent/Architecture/Pillar_50x500.uasset (65452) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Pillar_50x500.uasset
[2015.04.11-17.49.24:139][  0]LogPackFactory: Content/StarterContent/Architecture/SM_AssetPlatform.uasset (452977) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/SM_AssetPlatform.uasset
[2015.04.11-17.49.24:142][  0]LogPackFactory: Content/StarterContent/Architecture/SM_CeilingPiece500x500.uasset (441) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/SM_CeilingPiece500x500.uasset
[2015.04.11-17.49.24:144][  0]LogPackFactory: Content/StarterContent/Architecture/SM_FloorPiece500x500.uasset (439) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/SM_FloorPiece500x500.uasset
[2015.04.11-17.49.24:146][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_400x200.uasset (42169) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Wall_400x200.uasset
[2015.04.11-17.49.24:148][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_400x300.uasset (41804) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Wall_400x300.uasset
[2015.04.11-17.49.24:151][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_400x400.uasset (43426) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Wall_400x400.uasset
[2015.04.11-17.49.24:153][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_500x500.uasset (57909) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Wall_500x500.uasset
[2015.04.11-17.49.24:156][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_Door_400x300.uasset (52430) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Wall_Door_400x300.uasset
[2015.04.11-17.49.24:158][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_Door_400x400.uasset (53246) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Wall_Door_400x400.uasset
[2015.04.11-17.49.24:162][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_Window_400x300.uasset (53709) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Wall_Window_400x300.uasset
[2015.04.11-17.49.24:167][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_Window_400x400.uasset (54778) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Architecture/Wall_Window_400x400.uasset
[2015.04.11-17.49.24:192][  0]LogPackFactory: Content/StarterContent/Audio/Collapse01.uasset (348532) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Collapse01.uasset
[2015.04.11-17.49.24:196][  0]LogPackFactory: Content/StarterContent/Audio/Collapse02.uasset (346701) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Collapse02.uasset
[2015.04.11-17.49.24:199][  0]LogPackFactory: Content/StarterContent/Audio/Collapse_Cue.uasset (6113) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Collapse_Cue.uasset
[2015.04.11-17.49.24:228][  0]LogPackFactory: Content/StarterContent/Audio/Explosion01.uasset (282440) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Explosion01.uasset
[2015.04.11-17.49.24:231][  0]LogPackFactory: Content/StarterContent/Audio/Explosion02.uasset (289195) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Explosion02.uasset
[2015.04.11-17.49.24:234][  0]LogPackFactory: Content/StarterContent/Audio/Explosion_Cue.uasset (7657) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Explosion_Cue.uasset
[2015.04.11-17.49.24:234][  0]LogPackFactory: Content/StarterContent/Audio/Fire01.uasset (549696) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Fire01.uasset
[2015.04.11-17.49.24:237][  0]LogPackFactory: Content/StarterContent/Audio/Fire01_Cue.uasset (3894) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Fire01_Cue.uasset
[2015.04.11-17.49.24:238][  0]LogPackFactory: Content/StarterContent/Audio/Fire_Sparks01.uasset (796274) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Fire_Sparks01.uasset
[2015.04.11-17.49.24:257][  0]LogPackFactory: Content/StarterContent/Audio/Fire_Sparks01_Cue.uasset (3908) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Fire_Sparks01_Cue.uasset
[2015.04.11-17.49.24:258][  0]LogPackFactory: Content/StarterContent/Audio/Light01.uasset (364532) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Light01.uasset
[2015.04.11-17.49.24:260][  0]LogPackFactory: Content/StarterContent/Audio/Light01_Cue.uasset (3852) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Light01_Cue.uasset
[2015.04.11-17.49.24:264][  0]LogPackFactory: Content/StarterContent/Audio/Light02.uasset (308156) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Light02.uasset
[2015.04.11-17.49.24:267][  0]LogPackFactory: Content/StarterContent/Audio/Light02_Cue.uasset (3852) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Light02_Cue.uasset
[2015.04.11-17.49.24:278][  0]LogPackFactory: Content/StarterContent/Audio/Smoke01.uasset (476002) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Smoke01.uasset
[2015.04.11-17.49.24:281][  0]LogPackFactory: Content/StarterContent/Audio/Smoke01_Cue.uasset (3872) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Smoke01_Cue.uasset
[2015.04.11-17.49.24:284][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Background_Cue.uasset (9874) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Starter_Background_Cue.uasset
[2015.04.11-17.49.24:286][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Birds01.uasset (2689459) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Starter_Birds01.uasset
[2015.04.11-17.49.24:290][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Music01.uasset (8445372) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Starter_Music01.uasset
[2015.04.11-17.49.24:307][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Music_Cue.uasset (3390) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Starter_Music_Cue.uasset
[2015.04.11-17.49.24:309][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Wind05.uasset (2312702) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Starter_Wind05.uasset
[2015.04.11-17.49.24:370][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Wind06.uasset (2195539) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Starter_Wind06.uasset
[2015.04.11-17.49.24:378][  0]LogPackFactory: Content/StarterContent/Audio/Steam01.uasset (819028) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Steam01.uasset
[2015.04.11-17.49.24:381][  0]LogPackFactory: Content/StarterContent/Audio/Steam01_Cue.uasset (3900) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Audio/Steam01_Cue.uasset
[2015.04.11-17.49.24:384][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/FogBrightnessLUT.uasset (1011) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Assets/FogBrightnessLUT.uasset
[2015.04.11-17.49.24:384][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/M_LightStage_Arrows.uasset (44857) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Assets/M_LightStage_Arrows.uasset
[2015.04.11-17.49.24:387][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Black.uasset (67062) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Black.uasset
[2015.04.11-17.49.24:423][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_HDRI.uasset (100458) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_HDRI.uasset
[2015.04.11-17.49.24:429][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.uasset (75669) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.uasset
[2015.04.11-17.49.24:432][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/Skybox.uasset (644855) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Assets/Skybox.uasset
[2015.04.11-17.49.24:435][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/SM_Arrows.uasset (520136) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Assets/SM_Arrows.uasset
[2015.04.11-17.49.24:438][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/SunlightColorLUT.uasset (1506) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Assets/SunlightColorLUT.uasset
[2015.04.11-17.49.24:440][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_CeilingLight.uasset (66613) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Blueprint_CeilingLight.uasset
[2015.04.11-17.49.24:442][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Explosion.uasset (8324) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Blueprint_Effect_Explosion.uasset
[2015.04.11-17.49.24:445][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Fire.uasset (8332) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Blueprint_Effect_Fire.uasset
[2015.04.11-17.49.24:476][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Smoke.uasset (8346) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Blueprint_Effect_Smoke.uasset
[2015.04.11-17.49.24:478][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Sparks.uasset (8365) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Blueprint_Effect_Sparks.uasset
[2015.04.11-17.49.24:480][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Steam.uasset (8354) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Blueprint_Effect_Steam.uasset
[2015.04.11-17.49.24:483][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_WallSconce.uasset (52866) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/Blueprint_WallSconce.uasset
[2015.04.11-17.49.24:485][  0]LogPackFactory: Content/StarterContent/Blueprints/BP_LightStudio.uasset (337416) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Blueprints/BP_LightStudio.uasset
[2015.04.11-17.49.24:488][  0]LogPackFactory: Content/StarterContent/HDRI/HDRI_Epic_Courtyard_Daylight.uasset (72364642) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/HDRI/HDRI_Epic_Courtyard_Daylight.uasset
[2015.04.11-17.49.24:577][  0]LogPackFactory: Content/StarterContent/Maps/Advanced_Lighting.umap (223408) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Maps/Advanced_Lighting.umap
[2015.04.11-17.49.24:580][  0]LogPackFactory: Content/StarterContent/Maps/Minimal_Default.umap (2154106) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Maps/Minimal_Default.umap
[2015.04.11-17.49.24:584][  0]LogPackFactory: Content/StarterContent/Maps/StarterMap.umap (16371806) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Maps/StarterMap.umap
[2015.04.11-17.49.24:606][  0]LogPackFactory: Content/StarterContent/Materials/M_AssetPlatform.uasset (68672) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_AssetPlatform.uasset
[2015.04.11-17.49.24:617][  0]LogPackFactory: Content/StarterContent/Materials/M_Basic_Floor.uasset (65286) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Basic_Floor.uasset
[2015.04.11-17.49.24:620][  0]LogPackFactory: Content/StarterContent/Materials/M_Basic_Wall.uasset (55455) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Basic_Wall.uasset
[2015.04.11-17.49.24:622][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Clay_Beveled.uasset (100568) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Brick_Clay_Beveled.uasset
[2015.04.11-17.49.24:626][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Clay_New.uasset (130734) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Brick_Clay_New.uasset
[2015.04.11-17.49.24:632][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Clay_Old.uasset (123390) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Brick_Clay_Old.uasset
[2015.04.11-17.49.24:636][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Cut_Stone.uasset (122803) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Brick_Cut_Stone.uasset
[2015.04.11-17.49.24:638][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Hewn_Stone.uasset (90915) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Brick_Hewn_Stone.uasset
[2015.04.11-17.49.24:640][  0]LogPackFactory: Content/StarterContent/Materials/M_Ceramic_Tile_Checker.uasset (91562) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Ceramic_Tile_Checker.uasset
[2015.04.11-17.49.24:643][  0]LogPackFactory: Content/StarterContent/Materials/M_CobbleStone_Pebble.uasset (122364) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_CobbleStone_Pebble.uasset
[2015.04.11-17.49.24:645][  0]LogPackFactory: Content/StarterContent/Materials/M_CobbleStone_Rough.uasset (199387) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_CobbleStone_Rough.uasset
[2015.04.11-17.49.24:647][  0]LogPackFactory: Content/StarterContent/Materials/M_CobbleStone_Smooth.uasset (206806) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_CobbleStone_Smooth.uasset
[2015.04.11-17.49.24:650][  0]LogPackFactory: Content/StarterContent/Materials/M_ColorGrid_LowSpec.uasset (85099) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_ColorGrid_LowSpec.uasset
[2015.04.11-17.49.24:652][  0]LogPackFactory: Content/StarterContent/Materials/M_Concrete_Grime.uasset (91620) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Concrete_Grime.uasset
[2015.04.11-17.49.24:667][  0]LogPackFactory: Content/StarterContent/Materials/M_Concrete_Panels.uasset (102285) -> ../../../../../Tyler/Documents/GitHub/Games/Sandbox/Offices/Office1/Content/StarterContent/Materials/M_Concrete_Panels.uasset
